Constituency,State,MP,Party,Year
ADILABAD,Andhra, ALLOLA INDRAKARAN REDDY,TDP,1991
AMALAPURAM (SC),Andhra, BALAYOGI G.M.C.,TDP,1991
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1991
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1991
BAPATLA,Andhra, VENKATESWARA RAO DAGGUBATI,TDP,1991
BHADRACHALAM (ST),Andhra, KARREDDULA KAMALAKUMARI (W),INC,1991
BOBBILI,Andhra, ANANDA GAJAPATHI RAJU POOSAPATHI,INC,1991
CHITTOOR,Andhra, M. GNANENDRA REDDY,INC,1991
CUDDAPAH,Andhra, Y.S. RAJASEKHAR REDDY,INC,1991
ELURU,Andhra, BOLLA BULLIRAMAIAH,TDP,1991
GUNTUR,Andhra, LAL JAN BASHA S.M.,TDP,1991
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1991
HINDUPUR,Andhra, S. GANGADHARA,INC,1991
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1991
KAKINADA,Andhra, THOTA SUBBARAO,TDP,1991
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1991
KHAMMAM,Andhra, RANGAYYA NAYUDU P.V.,INC,1991
KURNOOL,Andhra, K. VIJAYA BHASKARA REDDY,INC,1991
MACHILIPATNAM,Andhra, K.P. REDDAIAH,TDP,1991
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1991
MEDAK,Andhra, N. BAGA REDDY,INC,1991
MIRYALGUDA ,Andhra,BHEEMIREDDY NARSIMHA REDDY ,CPM,1991
NAGARKURNOOL (SC),Andhra, MALLU RAVI,INC,1991
NALGONDA,Andhra, BOMMAGANI DHARMA BIKSHAM,CPI,1991
NANDYAL,Andhra, GANGULA PRATHAPA REDDY,INC,1991
NARASAPUR,Andhra, VIJAYAKUMAR RAJU BHUPATHIRAJU,TDP,1991
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1991
NELLORE (SC),Andhra, KUDUMULA PADMASRE (W),INC,1991
NIZAMABAD,Andhra, GADDAM GANGA REDDY,TDP,1991
ONGOLE,Andhra, MANGUNTA SUBBARAMA REDDY,INC,1991
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1991
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1991
RAJAHMUNDRY,Andhra, K.V.R. CHOWDARY,TDP,1991
RAJAMPET,Andhra, ANNAIAHGARI SAIPRATHAP,INC,1991
SECUNDERABAD,Andhra, BANDARU DATTATRAYA,BJP,1991
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1991
SRIKAKULAM ,Andhra,VISWANDHAM KANITHI ,INC,1991
TENALI,Andhra, UMMAREDDY VENKATESWARLU,TDP,1991
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1991
VIJAYAWADA,Andhra, VADDE SOBHANDRESWARA RAO,TDP,1991
VISAKHAPATNAM,Andhra, M.V.V.S. MURTHI,TDP,1991
WARANGAL,Andhra, SURENDRA REDDY RAMA SAHAYAM,INC,1991
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1991
ARRAH,Bihar, RAM LAKHAN SINGH YADAV,JD,1991
AURANGABAD,Bihar, RAM NARESH SINGH,JD,1991
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,JD,1991
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1991
BANKA,Bihar, PRATAP SINGH,JD,1991
BARH,Bihar, NITISH KUMAR,JD,1991
BEGUSARAI,Bihar, KRISHNA SAHI (W),INC,1991
BETTIAH,Bihar, FAIYAZULAZAM,JD,1991
BHAGALPUR,Bihar, CHUNCHUN PRA. YADAV,JD,1991
BIKRAMGANJ,Bihar, RAM PRASAD SINGH,JD,1991
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1991
CHAPRA,Bihar, LAL BABU RAI,JD,1991
CHATRA,Bihar, UPENDRA NATH VERMA,JD,1991
DARBHANGA,Bihar, MD. ALI ASRAF FATMI,JD,1991
DHANBAD,Bihar, RITA VERMA (W),BJP,1991
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1991
GAYA (SC),Bihar, RAJESH KUMAR,JD,1991
GIRIDIH,Bihar, BINOD BIHARI MAHTO,JMM,1991
GODDA,Bihar, SURAJ MANDAL,JMM,1991
GOPALGANJ,Bihar, ABDUL GHAFOOR,JD,1991
HAJIPUR (SC),Bihar, RAM SUNDER DAS,JD,1991
HAZARIBAGH,Bihar, BHUNESHWAR PRASAD MEHTA,CPI,1991
JAHANABAD,Bihar, RAMRAMASHARAY PRASAD SINGH,CPI,1991
JAMSHEDPUR,Bihar, SILENDRA MAHTO,JMM,1991
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1991
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1991
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1991
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1991
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1991
KODARMA,Bihar, MUMTAZ ANSARI,JD,1991
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1991
MADHEPURA,Bihar, SHARAD YADAV,JD,1991
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1991
